ssuid|pnum|panel|finyr3
00041835966018|102|2018|13687.447176
00041835966018|103|2018|14273.459004
00041835966018|104|2018|13854.227294
00041835966018|105|2018|8160.5262839
00041835994418|101|2018|7038.127892
00041840624018|101|2018|8434.3740634
00041840647718|101|2018|11539.293358
00041840647718|102|2018|15086.946149
00041840647718|103|2018|19149.783972
00041840656618|101|2018|5305.6871735
00041840656618|102|2018|5898.3935838
00041840659618|101|2018|13321.098406
00041840659618|103|2018|11294.320764
00041840659618|104|2018|12185.591853
00041840659618|105|2018|11477.359754
00041840662218|101|2018|7216.7554285
00041840662218|102|2018|8327.9868871
00041840883118|101|2018|10844.568546
00041841829118|101|2018|6194.4875496
00041841829118|102|2018|6836.3870736
00041843802318|101|2018|9983.8551324
00041843834318|101|2018|7674.7673615
00041843836918|101|2018|17969.532423
00041843836918|102|2018|21178.619573
00041843846518|101|2018|10438.565421
00041843846518|102|2018|10894.831672
00041847202318|101|2018|10966.402367
00041849408618|101|2018|14529.350224
00041849408618|102|2018|12100.959405
00041849408618|103|2018|18309.247747
00041849408618|104|2018|22267.282833
00041849429118|101|2018|12686.485044
00041849429118|102|2018|9554.0048892
00041849490318|101|2018|13846.090348
00041850077318|101|2018|17168.36279
00041850124318|101|2018|6344.0566639
00041850138918|101|2018|5444.3933083
00041850138918|102|2018|7398.9222594
00041850155318|101|2018|7498.2219811
00041850155318|102|2018|7723.3324501
00041853317418|101|2018|13918.896728
00041853317418|102|2018|8385.7550453
00041853317418|103|2018|26462.766346
00041853317418|104|2018|51746.304764
00041853317418|105|2018|28243.910679
00041855243118|101|2018|15309.692754
00041855245818|101|2018|25423.810221
00041855266018|101|2018|29757.420022
00041860602918|101|2018|15027.574964
00041860602918|102|2018|17879.652385
00041860602918|103|2018|8061.5102914
00041860924318|101|2018|14583.670426
00041860924318|102|2018|11163.561356
00041860924318|103|2018|5776.294978
00041860924318|104|2018|5776.294978
00041860924318|105|2018|10407.014019
00041860924318|106|2018|12656.76929
00041866280418|101|2018|8587.0944304
00041866293218|101|2018|18481.830869
00041868820718|101|2018|13890.027916
00041868820718|102|2018|13828.893155
00041868820718|103|2018|8789.6144454
00041868829418|101|2018|8903.4423837
00041868829418|102|2018|7585.0161802
00041868938918|101|2018|6176.7983665
00041868968718|101|2018|13960.128767
00041868968718|102|2018|12038.133856
00041868968718|103|2018|15347.817194
00041875508618|101|2018|5877.2262613
00041875508618|102|2018|9579.7436628
00041875508618|103|2018|8855.0577278
00041875528318|101|2018|10510.506456
00041875528318|102|2018|12395.913708
00041875528318|103|2018|11133.959319
00041875528318|104|2018|14359.137053
00041875529118|101|2018|4398.1260569
00041875590518|101|2018|13200.458988
00041875590518|102|2018|8790.9029385
00041878354918|101|2018|9770.7042563
00041878354918|102|2018|18192.360724
00041878354918|103|2018|15211.941246
00041880908618|101|2018|14209.213992
00041880908618|102|2018|13585.538087
00041880908618|103|2018|40316.383331
00041880928318|101|2018|16125.537708
00041880928318|102|2018|10886.666835
00041880928318|104|2018|10558.099458
00041880931618|101|2018|14246.279332
00041880990518|101|2018|8811.1407634
00041880990518|103|2018|7189.2639572
00041881616218|101|2018|16358.283066
00041881616218|102|2018|10152.828045
00041881669218|101|2018|10483.997315
00041881669218|102|2018|17294.419314
00041881669218|103|2018|18302.592077
00041881677318|101|2018|14044.066563
00041881693218|101|2018|13906.18387
00041881693218|102|2018|19692.390949
00041882861318|101|2018|14111.900063
00041882861318|102|2018|11442.66631
00041882861318|103|2018|7543.3855088
00041882861318|104|2018|7443.0027476
00041882861318|105|2018|4730.7563761
00041882868918|101|2018|10886.666835
00041882868918|102|2018|12186.378703
00041884754918|101|2018|7875.5178472
00041884754918|102|2018|8305.7945942
00041884770518|101|2018|15210.012496
00041884770518|102|2018|20190.690676
00041884793218|101|2018|7857.3082845
00041884793218|102|2018|9424.3294391
00041884793218|103|2018|27761.075449
00041892506018|101|2018|8081.5591125
00041892514918|101|2018|8421.6249693
00041892519718|101|2018|6742.4784471
00041892529418|101|2018|17260.086347
00041892529418|102|2018|14599.763044
00041892529418|104|2018|10257.272256
00041892529418|105|2018|10233.498623
00041892563018|101|2018|13393.294876
00041892563018|102|2018|14441.542978
00041892563018|103|2018|34263.3341
00041893217418|102|2018|10132.532531
00041893217418|103|2018|4661.3086939
00041893231618|101|2018|5463.7052251
00041893231618|102|2018|4712.6882633
00041893268918|101|2018|8554.8166951
00041893268918|102|2018|6746.6164821
00041893268918|103|2018|6008.2723105
00041893268918|104|2018|3935.505888
00041893290318|101|2018|4472.2343954
00041893290518|101|2018|9051.7529558
